Week	Day	Team1	Team2	B1	B2	P1-1	P1-2	P1-3	P2-1	P2-2	P2-3	Result	Patch	Notes	Link	Region
2	2	UOL	ROC	Lulu,Azir,Alistar	Ryze,Morgana,Kalista	Gragas	Kog'Maw,Sivir	Nocturne,Annie	Maokai,Thresh	Rek'Sai,LeBlanc	Lucian	1	5.10	Ekko Disabled for Week 2	J6Tkglz5ufk	EU
2	2	H2K	EL	Urgot,Alistar,LeBlanc	Ryze,Maokai,Kalista	Thresh	Rumble,Rek'Sai	Orianna,Sivir	Gnar,Gragas	Lucian,Janna	Kassadin	1	5.10	Ekko Disabled for Week 2	GgNMD_jtof0	EU
2	2	OG	CW	Cassiopeia,Draven,Alistar	LeBlanc,Rumble,Ryze	Kalista	Gragas,Thresh	Hecarim,Vladimir	Maokai,Morgana	Evelynn,Ashe	Azir	1	5.10	Ekko Disabled for Week 2	B67IEziVLrs	EU
3	1	OG	UOL	Kog'Maw,Morgana,Ekko	Alistar,Urgot,LeBlanc	Gragas	Fizz,Sivir	Orianna,Nautilus	Ryze,Thresh	Rek'Sai,Kalista	Cassiopeia	1	5.10		entnXUkMp5k	EU
3	1	ROC	GIA	Gragas,Kalista,Ekko	Ryze,Rek'Sai,LeBlanc	Alistar	Azir,Kog'Maw	Rumble,Lee Sin	Evelynn,Morgana	Varus,Ezreal	Jax	2	5.10		YnjIDFpQDXo	EU
3	1	SK	H2K	Ryze,Kalista,Kassadin	LeBlanc,Kog'Maw,Ekko	Rek'Sai	Viktor,Janna	Dr.Mundo,Vayne	Rumble,Sivir	Gragas,Annie	Twisted Fate	2	5.10		5AyOoOl3AhY	EU
3	1	FNC	EL	Vladimir,Kassadin,LeBlanc	Rumble,Ryze,Alistar	Kalista	Rek'Sai,Morgana	Hecarim,Azir	Gragas,Ekko	Fizz,Bard	Vayne	1	5.10		hz8LmrFVNHU	EU
3	1	CW	GMB	LeBlanc,Hecarim,Fizz	Maokai,Morgana,Ryze	Ekko	Rumble,Alistar	Kog'Maw,Lucian	Rek'Sai,Azir	Gragas,Corki	Nautilus	2	5.10		gRCTGxNQ1IU	EU
3	2	FNC	GIA	Jax,Morgana,Thresh	Ryze,Rumble,Alistar	Ekko	LeBlanc,Sivir	Rek'Sai,Leona	Gragas,Nautilus	Lulu,Lucian	Renekton	1	5.10		DaWkxdDQEys	EU
3	2	ROC	OG	Kalista,Gragas,Ekko	Ryze,Rek'Sai,LeBlanc	Sivir	Rumble,Nautilus	Lee Sin,Azir	Fizz,Alistar	Evelynn,Lucian	Vladimir	1	5.10		9jJEsnA9oRI	EU
3	2	EL	CW	Draven,Maokai,Alistar	LeBlanc,Fizz,Ryze	Ekko	Gragas,Thresh	Hecarim,Ashe	Rek'Sai,Kalista	Vladimir,Morgana	Azir	2	5.10		LBGtV2VZ5hg&	EU
3	2	GMB	SK	LeBlanc,Maokai,Azir	Ryze,Morgana,Gnar	Rek'Sai	Lulu,Corki	Hecarim,Taric	Gragas,Alistar	Shyvana,Kalista	Vladimir	1	5.10		FKoe9kv7730	EU
3	2	UOL	H2K	Kalista,Fizz,Rek'Sai	Kog'Maw,Morgana,Ryze	Sivir	Maokai,Ekko	Orianna,Annie	Gragas,Thresh	Rumble,Jinx	Lulu	2	5.10		YLM4eDbRJxY	EU
4	1	GIA	GMB	Gragas,Hecarim,Ryze	Morgana,Maokai,Jax	Rek'Sai	Rumble,Alistar	Diana,Kalista	Nidalee,Corki	Fizz,Bard	Lulu	2	5.11		c1GbLoMBQWc	EU
4	1	EL	ROC	Azir,Rumble,Jayce	Kalista,Ekko,Ryze	Sivir	Gragas,Alistar	Hecarim,Vladimir	Fizz,Rek'Sai	Corki,Bard	Lulu	1	5.11		h3KnK2alDNk	EU
4	1	OG	FNC	Rumble,Jayce,Ryze	Alistar,Thresh,Morgana	Hecarim	Gragas,Azir	Sivir,Annie	Ekko,Kalista	Olaf,Janna	Viktor	2	5.11		mY_o6n2F_0c	EU
4	1	SK	UOL	Kog'Maw,Gragas,Ryze	Azir,Rek'Sai,LeBlanc	Ekko	Caitlyn,Lulu	Gnar,Cassiopeia	Kalista,Alistar	Shen,Lee Sin	Orianna	1	5.11		X9hJKzoIZSs	EU
